start	end	read depth
798000	799999	0
800000	801999	0
802000	803999	0
804000	805999	0
806000	807999	0
808000	809999	0
810000	811999	0
812000	813999	0
814000	815999	0
816000	817999	0
818000	819999	0
820000	821999	0
822000	823999	0
824000	825999	0
826000	827999	0
828000	829999	0
830000	831999	0
832000	833999	0
834000	835999	0
836000	837999	0
838000	839999	0
840000	841999	0
842000	843999	0
844000	845999	0
846000	847999	0
848000	849999	0
850000	851999	0
852000	853999	0
854000	855999	0
856000	857999	0
858000	859999	0
860000	861999	0
862000	863999	0
864000	865999	0
866000	867999	0
868000	869999	0
870000	871999	0
872000	873999	0
874000	875999	0
876000	877999	0
878000	879999	0
880000	881999	0
882000	883999	0
884000	885999	0
886000	887999	0
888000	889999	0
890000	891999	0
892000	893999	0
894000	895999	0
896000	897999	0
898000	899999	0
900000	901999	0
902000	903999	0
904000	905999	0
906000	907999	0
908000	909999	0
910000	911999	0
912000	913999	0
914000	915999	0
916000	917999	0
918000	919999	0
920000	921999	0
922000	923999	0
924000	925999	0
926000	927999	0
928000	929999	0
930000	931999	0
932000	933999	0
934000	935999	0
936000	937999	0
938000	939999	0
940000	941999	0
942000	943999	0
944000	945999	0
946000	947999	0
948000	949999	0
950000	951999	0
952000	953999	0
954000	955999	0
956000	957999	0
958000	959999	0
960000	961999	0
962000	963999	0
964000	965999	0
966000	967999	0
968000	969999	0
970000	971999	0
972000	973999	0
974000	975999	0
976000	977999	0
978000	979999	0
980000	981999	0
982000	983999	0
984000	985999	0
986000	987999	0
988000	989999	0
990000	991999	0
992000	993999	0
994000	995999	0
996000	997999	0
998000	999999	0
1000000	1001999	0
1002000	1003999	0
1004000	1005999	0
1006000	1007999	0
1008000	1009999	0
1010000	1011999	0
1012000	1013999	0
1014000	1015999	0
1016000	1017999	0
1018000	1019999	0
1020000	1021999	0
1022000	1023999	0
1024000	1025999	0
1026000	1027999	0
1028000	1029999	0
1030000	1031999	0
1032000	1033999	0
1034000	1035999	0
1036000	1037999	0
1038000	1039999	0
1040000	1041999	0
1042000	1043999	0
1044000	1045999	0
1046000	1047999	0
1048000	1049999	0
1050000	1051999	0
1052000	1053999	0
1054000	1055999	0
1056000	1057999	0
1058000	1059999	0
1060000	1061999	0
1062000	1063999	0
1064000	1065999	0
1066000	1067999	0
1068000	1069999	0
1070000	1071999	0
1072000	1073999	0
1074000	1075999	0
1076000	1077999	0
1078000	1079999	0
1080000	1081999	0
1082000	1083999	0
1084000	1085999	0
1086000	1087999	0
1088000	1089999	0
1090000	1091999	0
1092000	1093999	0
1094000	1095999	0
1096000	1097999	0
1098000	1099999	0
1100000	1101999	0
1102000	1103999	0
1104000	1105999	0
1106000	1107999	0
1108000	1109999	0
1110000	1111999	0
1112000	1113999	0
1114000	1115999	0
1116000	1117999	0
1118000	1119999	0
1120000	1121999	0
1122000	1123999	0
1124000	1125999	0
1126000	1127999	0
1128000	1129999	0
1130000	1131999	0
1132000	1133999	0
1134000	1135999	0
1136000	1137999	0
1138000	1139999	0
1140000	1141999	0
1142000	1143999	0
1144000	1145999	0
1146000	1147999	0
1148000	1149999	0
1150000	1151999	0
1152000	1153999	0
1154000	1155999	0
1156000	1157999	0
1158000	1159999	0
1160000	1161999	0
1162000	1163999	0
1164000	1165999	0
1166000	1167999	0
1168000	1169999	0
1170000	1171999	0
1172000	1173999	0
1174000	1175999	0
1176000	1177999	0
1178000	1179999	0
1180000	1181999	0
1182000	1183999	0
1184000	1185999	0
1186000	1187999	0
1188000	1189999	0
1190000	1191999	0
1192000	1193999	0
1194000	1195999	0
1196000	1197999	0
1198000	1199999	0
1200000	1201999	0
1202000	1203999	0
1204000	1205999	0
1206000	1207999	0
1208000	1209999	0
1210000	1211999	0
1212000	1213999	0
1214000	1215999	0
1216000	1217999	0
1218000	1219999	0
1220000	1221999	0
1222000	1223999	0
1224000	1225999	0
1226000	1227999	0
1228000	1229999	0
1230000	1231999	0
1232000	1233999	0
1234000	1235999	0
1236000	1237999	0
1238000	1239999	0
1240000	1241999	0
1242000	1243999	0
1244000	1245999	0
1246000	1247999	0
1248000	1249999	0
1250000	1251999	0
1252000	1253999	0
1254000	1255999	0
1256000	1257999	0
1258000	1259999	0
1260000	1261999	0
1262000	1263999	0
1264000	1265999	0
1266000	1267999	0
1268000	1269999	0
1270000	1271999	0
1272000	1273999	0
1274000	1275999	0
1276000	1277999	0
1278000	1279999	0
1280000	1281999	0
1282000	1283999	0
1284000	1285999	0
1286000	1287999	0
1288000	1289999	0
1290000	1291999	0
1292000	1293999	0
1294000	1295999	0
1296000	1297999	0
1298000	1299999	0
1300000	1301999	0
1302000	1303999	0
1304000	1305999	0
1306000	1307999	0
1308000	1309999	0
1310000	1311999	0
1312000	1313999	0
1314000	1315999	0
1316000	1317999	0
1318000	1319999	0
1320000	1321999	0
1322000	1323999	0
1324000	1325999	0
1326000	1327999	0
1328000	1329999	0
1330000	1331999	0
1332000	1333999	0
1334000	1335999	0
1336000	1337999	0
1338000	1339999	0
1340000	1341999	0
1342000	1343999	0
1344000	1345999	0
1346000	1347999	0
1348000	1349999	0
1350000	1351999	0
1352000	1353999	0
1354000	1355999	0
1356000	1357999	0
1358000	1359999	0
1360000	1361999	0
1362000	1363999	0
1364000	1365999	0
1366000	1367999	0
1368000	1369999	0
1370000	1371999	0
1372000	1373999	0
1374000	1375999	0
1376000	1377999	0
1378000	1379999	0
